iter	MultiClass
0	1.790506157
1	1.671067678
2	1.577265087
3	1.504703103
4	1.443765653
5	1.39327129
6	1.34887633
7	1.310961627
8	1.277009132
9	1.248468357
10	1.223153878
11	1.201528677
12	1.180412444
13	1.161440512
14	1.146317502
15	1.131271261
16	1.118599627
17	1.107124644
18	1.096394794
19	1.085781719
20	1.075678609
21	1.067497094
22	1.05879826
23	1.05082462
24	1.044396144
25	1.038456635
26	1.032592711
27	1.027323685
28	1.02154407
29	1.016573958
30	1.012152445
31	1.007237168
32	1.002077563
33	0.9973066017
34	0.9938311808
35	0.990129316
36	0.9866953953
37	0.9831432676
38	0.9798188923
39	0.9768110648
40	0.9725389778
41	0.9697987204
42	0.967379809
43	0.965435657
44	0.9625408646
45	0.9600534093
46	0.9570571097
47	0.9549050207
48	0.9528642219
49	0.9498269829
50	0.9483411399
51	0.9457860755
52	0.9426015919
53	0.9408782133
54	0.9386813216
55	0.9363697747
56	0.9345200263
57	0.9327467353
58	0.9301637549
59	0.9284899148
60	0.9261715759
61	0.9248159661
62	0.9223385432
63	0.9196329316
64	0.9174020795
65	0.9158906883
66	0.9138239675
67	0.9126846446
68	0.9105722487
69	0.9092064819
70	0.9075263482
71	0.9058696441
72	0.9042629147
73	0.9028282925
74	0.9013191445
75	0.8998032668
76	0.8979992557
77	0.8969853057
78	0.8956885189
79	0.8942019281
80	0.8923404026
81	0.8906754732
82	0.8893212965
83	0.888022952
84	0.8865300052
85	0.8853352241
86	0.8840675997
87	0.8830138942
88	0.881864539
89	0.8803965173
90	0.8791439101
91	0.8773196475
92	0.8756235618
93	0.8732217241
94	0.8721661492
95	0.8710913821
96	0.8696301525
97	0.8680702821
98	0.8673362401
99	0.8661165963
100	0.8650911184
101	0.8635101864
102	0.8624597212
103	0.8614893899
104	0.8602099884
105	0.8597779754
106	0.8590701669
107	0.858137784
108	0.8573433612
109	0.8560517463
110	0.8549083731
111	0.854053694
112	0.8526152708
113	0.8517098692
114	0.8510927879
115	0.8497189828
116	0.8486008462
117	0.8483807582
118	0.8466837378
119	0.8451291017
120	0.8437757351
121	0.8422434691
122	0.8413362605
123	0.8407001739
124	0.8397814997
125	0.8379981142
126	0.8365047936
127	0.8357868905
128	0.8351518632
129	0.8340004516
130	0.8330675079
131	0.8319448848
132	0.8307289797
133	0.8292724859
134	0.8279208017
135	0.8277389114
136	0.8261079423
137	0.8258350133
138	0.8246478343
139	0.8241470906
140	0.8224374207
141	0.8213550515
142	0.819735548
143	0.8187391701
144	0.8171606059
145	0.8162057282
146	0.8146878564
147	0.8137668144
148	0.8128716944
149	0.8117082566
150	0.8110250616
151	0.8095975431
152	0.808939834
153	0.807621674
154	0.8068570365
155	0.8062237539
156	0.8054891511
157	0.8039738965
158	0.8037222161
159	0.8025483097
160	0.8017123243
161	0.800999344
162	0.7999476948
163	0.7993944839
164	0.7991350767
165	0.7973818504
166	0.7963707044
167	0.7955764062
168	0.7952440933
169	0.7943913458
170	0.7937301472
171	0.7928012538
172	0.7921222961
173	0.7917501032
174	0.7904316317
175	0.7898771745
176	0.7885049272
177	0.7876217712
178	0.7865488112
179	0.7859028168
180	0.7851934506
181	0.784334098
182	0.7829460857
183	0.7821458677
184	0.7811106691
185	0.7800099177
186	0.7792535055
187	0.778833955
188	0.7776390492
189	0.7772143891
190	0.7758491832
191	0.7751250489
192	0.7746751521
193	0.7741372078
194	0.7730879265
195	0.7725893014
196	0.7710290571
197	0.7694904976
198	0.7681159447
199	0.7677417578
200	0.766938175
201	0.7657546724
202	0.7654169383
203	0.76456201
204	0.7642375485
205	0.7627877843
206	0.7615844041
207	0.7605011625
208	0.7591808839
209	0.7588004657
210	0.7579153157
211	0.757054343
212	0.7560526686
213	0.7555161574
214	0.7550226419
215	0.754293211
216	0.7538527858
217	0.7533364639
218	0.7525073329
219	0.7520766908
220	0.7513726212
221	0.7498468357
222	0.7492164195
223	0.748257803
224	0.7476888893
225	0.7476181022
226	0.7468347087
227	0.7462656081
228	0.7460331199
229	0.7448814591
230	0.7441507819
231	0.7432762251
232	0.7422577263
233	0.7415190108
234	0.7403278438
235	0.7396714433
236	0.7380668948
237	0.736901089
238	0.7356499774
239	0.734901915
240	0.733802036
241	0.7331827737
242	0.7327860919
243	0.7317080223
244	0.7305665184
245	0.7295998013
246	0.7287457453
247	0.7270780118
248	0.7264161278
249	0.7260137133
250	0.7253376219
251	0.7244230604
252	0.7238947745
253	0.7228084173
254	0.7220702003
255	0.7206472929
256	0.7194897748
257	0.7191337208
258	0.7187944912
259	0.7180059257
260	0.7167496421
261	0.7161106267
262	0.7154193312
263	0.714625656
264	0.7140129366
265	0.7137009376
266	0.7129910729
267	0.7120953921
268	0.7115047313
269	0.7107695053
270	0.7103092024
271	0.7086774233
272	0.7072176892
273	0.7065646535
274	0.7060257745
275	0.7053808394
276	0.7047986532
277	0.703543055
278	0.702795865
279	0.7019653009
280	0.7013715245
281	0.7004891786
282	0.6992604371
283	0.6985259589
284	0.6972807046
285	0.696966587
286	0.6962758522
287	0.6953490152
288	0.6949302747
289	0.6945261154
290	0.6938300841
291	0.6932867186
292	0.6921788012
293	0.6909572257
294	0.6902771463
295	0.6895493356
296	0.6890156285
297	0.6879055302
298	0.6868947581
299	0.6859344591
300	0.6850732372
301	0.6840405934
302	0.6835665194
303	0.6828593341
304	0.6821072215
305	0.6804214174
306	0.6796438812
307	0.6792968002
308	0.6789126433
309	0.6780796489
310	0.67789726
311	0.6771144273
312	0.6763152687
313	0.6753324749
314	0.674164239
315	0.6734280783
316	0.6723828474
317	0.6714685975
318	0.6707152386
319	0.6700142845
320	0.6692781862
321	0.668796884
322	0.6678466797
323	0.6667236827
324	0.6658909999
325	0.6656408772
326	0.6650030458
327	0.6641124747
328	0.6634897852
329	0.6628659118
330	0.661907233
331	0.6611546219
332	0.6603782697
333	0.6599835819
334	0.6591778804
335	0.6581994486
336	0.6574496415
337	0.6565095941
338	0.655927844
339	0.6552920066
340	0.6551981016
341	0.6545666261
342	0.6541733092
343	0.6538580076
344	0.6531609793
345	0.6520293208
346	0.6511817453
347	0.6509349252
348	0.6502262445
349	0.6498225837
350	0.6489317633
351	0.6484371261
352	0.6475529108
353	0.6469972074
354	0.6463530824
355	0.6460490594
356	0.6454876855
357	0.6448645599
358	0.6435519457
359	0.6428752313
360	0.6427442503
361	0.6421014962
362	0.6415175652
363	0.6408083236
364	0.640228879
365	0.6388704651
366	0.638339936
367	0.6379545951
368	0.6376433438
369	0.6376111905
370	0.6362617497
371	0.6355764984
372	0.634821644
373	0.6345072148
374	0.6339581788
375	0.6334402991
376	0.6329303954
377	0.6326494903
378	0.6318512041
379	0.6314164493
380	0.6307306996
381	0.6300203986
382	0.6293585146
383	0.628969248
384	0.628386314
385	0.6277644969
386	0.6268765429
387	0.6263663899
388	0.6260682866
389	0.6257510533
390	0.6251524165
391	0.6244478484
392	0.6238441019
393	0.6227364961
394	0.6217642332
395	0.6210020882
396	0.6198563471
397	0.6191840569
398	0.6184088263
399	0.6176431918
400	0.6172648922
401	0.6170464867
402	0.6165782701
403	0.6158394923
404	0.6150427639
405	0.6137424876
406	0.6133089168
407	0.6124124882
408	0.6118321713
409	0.6114580467
410	0.6108473836
411	0.6106141476
412	0.6102506161
413	0.6095658011
414	0.6090271713
415	0.6085697971
416	0.6074724728
417	0.6067430419
418	0.6058072318
419	0.60518286
420	0.6042320325
421	0.6031348952
422	0.602807505
423	0.602323648
424	0.6013608565
425	0.6008044677
426	0.6003470311
427	0.5998042264
428	0.599045197
429	0.5986172967
430	0.5984354686
431	0.5977555762
432	0.5971516429
433	0.5962556505
434	0.595720261
435	0.5946994565
436	0.5942566011
437	0.5933686471
438	0.5927475155
439	0.5921333628
440	0.5918362565
441	0.5908794471
442	0.5899481859
443	0.5892958979
444	0.5888582145
445	0.5882262405
446	0.5872694934
447	0.5862353541
448	0.5859340105
449	0.5851259412
450	0.5846549828
451	0.5843365656
452	0.5839989561
453	0.5836491957
454	0.5830840831
455	0.5824436345
456	0.5814770421
457	0.5812177595
458	0.5802395145
459	0.5792605842
460	0.5786075485
461	0.5784642296
462	0.5777773582
463	0.5774672286
464	0.5765553465
465	0.5757781219
466	0.5755088693
467	0.5747977583
468	0.5744719259
469	0.5738290472
470	0.5733902422
471	0.5728963528
472	0.5721896037
473	0.5714748786
474	0.5709794937
475	0.5703417869
476	0.5700588879
477	0.5694056653
478	0.5689286003
479	0.5680253173
480	0.5673549588
481	0.5667795646
482	0.5656857921
483	0.5653936708
484	0.5650078938
485	0.5648170927
486	0.5643909371
487	0.563581123
488	0.5627189663
489	0.5623173619
490	0.5620191963
491	0.5613821749
492	0.5611075634
493	0.5608905911
494	0.5604869926
495	0.5599383305
496	0.5593239909
497	0.5588390746
498	0.5584628313
499	0.5578700519
500	0.5572185117
501	0.556730729
502	0.5563493761
503	0.5555921538
504	0.5545853074
505	0.5542105596
506	0.5537116229
507	0.5530435076
508	0.5525849495
509	0.5518535869
510	0.5514855689
511	0.5507197475
512	0.5502039241
513	0.5496390607
514	0.5491332696
515	0.5486263569
516	0.5477188367
517	0.5473190393
518	0.5466992786
519	0.5461345398
520	0.5454550213
521	0.5446708177
522	0.5438906644
523	0.5433282935
524	0.5427423061
525	0.5423345327
526	0.5419321182
527	0.540766624
528	0.5401824437
529	0.539736535
530	0.5392559805
531	0.5384311491
532	0.5375377116
533	0.5369459915
534	0.5364651254
535	0.5359640078
536	0.5346827991
537	0.5336589414
538	0.5334079464
539	0.5331284122
540	0.5325359444
541	0.532077947
542	0.5316959087
543	0.5311450033
544	0.5307900087
545	0.5302503195
546	0.5298174342
547	0.5292057117
548	0.5286949979
549	0.5278006257
550	0.5270815387
551	0.5267159509
552	0.5260311982
553	0.5257705447
554	0.5254207843
555	0.5251398792
556	0.5245722741
557	0.5240699102
558	0.5233445297
559	0.5229780072
560	0.5226899362
561	0.5222086339
562	0.5216499395
563	0.5209413833
564	0.5204791487
565	0.5200253886
566	0.5194721777
567	0.518899681
568	0.518127161
569	0.5175434169
570	0.5167994672
571	0.5164286451
572	0.5159287737
573	0.5152290971
574	0.5148280535
575	0.5143337902
576	0.513559837
577	0.5129969988
578	0.512071408
579	0.5115408476
580	0.5109316177
581	0.510732716
582	0.5105139677
583	0.510056687
584	0.5094642814
585	0.50855053
586	0.5081959715
587	0.507971584
588	0.5072901961
589	0.506391462
590	0.5060627632
591	0.5057862824
592	0.5053211502
593	0.5050513991
594	0.5043595116
595	0.5038565557
596	0.5032534324
597	0.5028296447
598	0.5026103668
599	0.5022138719
600	0.5020018223
601	0.5014176108
602	0.5010858276
603	0.5003854967
604	0.4998430035
605	0.4995419092
606	0.4989999457
607	0.498360463
608	0.4980803368
609	0.4975484056
610	0.4973618107
611	0.4969311062
612	0.496566235
613	0.4961831062
614	0.4958051182
615	0.4950702973
616	0.4944273251
617	0.4935003634
618	0.4931431255
619	0.4925308734
620	0.4918225665
621	0.4913287082
622	0.4909622792
623	0.490744528
624	0.4904726582
625	0.4896405363
626	0.4891626301
627	0.4886543465
628	0.4883394188
629	0.488052594
630	0.4877792911
631	0.4873266527
632	0.4864237748
633	0.4858667316
634	0.485493199
635	0.4850804094
636	0.4848097548
637	0.4846257146
638	0.4841040027
639	0.4837928137
640	0.483375818
641	0.4831187164
642	0.4825141911
643	0.482405736
644	0.4820381231
645	0.4813944654
646	0.4811543751
647	0.480813245
648	0.480248662
649	0.4795915137
650	0.4794194999
651	0.4788064377
652	0.4783367256
653	0.4779630683
654	0.4774341593
655	0.477088605
656	0.4762986374
657	0.4757772994
658	0.4754882937
659	0.4750460926
660	0.4748993154
661	0.4745360331
662	0.474014695
663	0.473378733
664	0.4726836052
665	0.4723514169
666	0.4719843648
667	0.4716760422
668	0.4713080554
669	0.4705931433
670	0.4703300908
671	0.4699535983
672	0.4695362288
673	0.469262552
674	0.4685482631
675	0.4677979887
676	0.4675587707
677	0.4669054858
678	0.4665231048
679	0.4660493423
680	0.4656498565
681	0.4652274085
682	0.4645864303
683	0.4642363894
684	0.4637527193
685	0.4632413513
686	0.4625011092
687	0.4618856791
688	0.4616456823
689	0.4614329472
690	0.4607324917
691	0.4603399537
692	0.4598784357
693	0.4596260698
