iter	Passed	Remaining
0	5	5967
1	10	5052
2	14	4761
3	17	4472
4	21	4319
5	26	4432
6	30	4298
7	33	4194
8	37	4113
9	40	4054
10	44	4014
11	48	4013
12	53	4099
13	59	4163
14	62	4118
15	66	4073
16	69	4039
17	73	4013
18	77	3980
19	80	3952
20	84	3928
21	87	3904
22	91	3879
23	94	3861
24	99	3870
25	102	3856
26	106	3836
27	110	3820
28	114	3823
29	117	3810
30	121	3795
31	124	3781
32	128	3762
33	132	3759
34	135	3738
35	138	3720
36	142	3707
37	146	3701
38	149	3685
39	152	3668
40	156	3655
41	159	3640
42	163	3634
43	166	3617
44	170	3611
45	173	3597
46	176	3587
47	180	3585
48	184	3572
49	187	3562
50	190	3549
51	194	3538
52	197	3535
53	201	3527
54	206	3545
55	209	3536
56	213	3534
57	216	3522
58	220	3511
59	223	3501
60	227	3496
61	230	3485
62	234	3484
63	237	3474
64	240	3465
65	244	3458
66	248	3454
67	251	3445
68	254	3436
69	258	3428
70	261	3419
71	265	3418
72	270	3430
73	273	3422
74	276	3413
75	280	3410
76	283	3401
77	286	3391
78	290	3386
79	293	3379
80	297	3379
81	301	3371
82	304	3365
83	307	3357
84	311	3352
85	315	3352
86	320	3362
87	323	3354
88	326	3345
89	330	3342
90	334	3336
91	337	3329
92	340	3323
93	344	3319
94	347	3314
95	351	3306
96	354	3299
97	357	3292
98	361	3289
99	364	3283
100	368	3275
101	371	3268
102	374	3262
103	378	3260
104	381	3253
105	384	3245
106	388	3238
107	391	3231
108	394	3226
109	398	3220
110	401	3215
111	404	3207
112	407	3202
113	411	3197
114	414	3193
115	418	3188
116	421	3180
117	424	3172
118	428	3168
119	432	3168
120	435	3160
121	438	3155
122	441	3149
123	445	3147
124	448	3141
125	452	3135
126	455	3130
127	459	3128
128	464	3133
129	467	3128
130	470	3121
131	473	3116
132	477	3115
133	481	3109
134	484	3103
135	487	3096
136	490	3091
137	494	3088
138	499	3093
139	502	3086
140	505	3082
141	509	3080
142	514	3085
143	518	3079
144	521	3075
145	524	3070
